Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities,Is_Overlapping
karate,0,Leiden-LPA_Hybrid,0.0021248,0.3717949,0.677243,0.9411765,0.7716263,2,False
karate,0,Pure_Leiden,0.0004339,0.4197896,0.5878497,0.3860837,0.4645911,4,False
karate,0,Pure_LPA,0.0001307,0.3621795,0.4875429,0.5098901,0.4898759,3,False
karate,1,Leiden-LPA_Hybrid,0.0093319,0.3717949,0.677243,0.9411765,0.7716263,2,False
karate,1,Pure_Leiden,0.0004478,0.4197896,0.5878497,0.3860837,0.4645911,4,False
karate,1,Pure_LPA,0.0001845,0.3362919,0.5610231,0.5682111,0.5492194,3,False
karate,2,Leiden-LPA_Hybrid,0.0024471,0.3717949,0.677243,0.9411765,0.7716263,2,False
karate,2,Pure_Leiden,0.000428,0.4197896,0.5878497,0.3860837,0.4645911,4,False
karate,2,Pure_LPA,0.000129,0.3621795,0.4875429,0.5098901,0.4898759,3,False
karate,3,Leiden-LPA_Hybrid,0.0077863,0.3717949,0.677243,0.9411765,0.7716263,2,False
karate,3,Pure_Leiden,0.0004771,0.4197896,0.5878497,0.3860837,0.4645911,4,False
karate,3,Pure_LPA,0.0001774,0.3621795,0.4875429,0.5098901,0.4898759,3,False
karate,4,Leiden-LPA_Hybrid,0.0014727,0.3717949,0.677243,0.9411765,0.7716263,2,False
karate,4,Pure_Leiden,0.0003836,0.4197896,0.5878497,0.3860837,0.4645911,4,False
karate,4,Pure_LPA,0.0001838,0.3362919,0.5610231,0.5682111,0.5492194,3,False
cora,0,Leiden-LPA_Hybrid,0.0337088,0.7805193,0.4493595,0.0781947,0.2727279,52,False
cora,0,Pure_Leiden,0.0177605,0.8129667,0.4795868,0.1345536,0.3016503,29,False
cora,0,Pure_LPA,0.0136292,0.7041116,0.4232199,0.0145075,0.1614106,184,False
cora,1,Leiden-LPA_Hybrid,0.0297472,0.7819769,0.4508557,0.0733978,0.2978748,55,False
cora,1,Pure_Leiden,0.0179126,0.8129667,0.4795868,0.1345536,0.3016503,29,False
cora,1,Pure_LPA,0.0167644,0.7175911,0.4229577,0.0159293,0.1765301,176,False
cora,2,Leiden-LPA_Hybrid,0.0275209,0.7793784,0.4451804,0.0695,0.2726709,54,False
cora,2,Pure_Leiden,0.0175674,0.8129667,0.4795868,0.1345536,0.3016503,29,False
cora,2,Pure_LPA,0.0142882,0.7041116,0.4232199,0.0145075,0.1614106,184,False
cora,3,Leiden-LPA_Hybrid,0.0295446,0.7824129,0.4499339,0.0636367,0.2614774,56,False
cora,3,Pure_Leiden,0.0173392,0.8129667,0.4795868,0.1345536,0.3016503,29,False
cora,3,Pure_LPA,0.0147686,0.7041116,0.4232199,0.0145075,0.1614106,184,False
cora,4,Leiden-LPA_Hybrid,0.0291719,0.7763003,0.4410561,0.0715044,0.2653694,55,False
cora,4,Pure_Leiden,0.0172729,0.8132368,0.4607939,0.1474342,0.2912724,27,False
cora,4,Pure_LPA,0.0161982,0.7175911,0.4229577,0.0159293,0.1765301,176,False
