Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities
10000,0,Leiden-LPA_Hybrid,0.3130572,0.6857161,0.9082544,0.4211193,0.635495,110
10000,0,Pure_Leiden,0.1924913,0.6906148,0.9464644,0.3761297,0.8289976,97
10000,1,Leiden-LPA_Hybrid,0.3803725,0.6859189,0.9204962,0.4591761,0.6884689,122
10000,1,Pure_Leiden,0.2007923,0.6906131,0.9509693,0.394012,0.8484511,101
10000,2,Leiden-LPA_Hybrid,0.3104403,0.6863357,0.9127601,0.4362398,0.6543215,110
10000,2,Pure_Leiden,0.1980793,0.6906301,0.9443948,0.3655807,0.8203398,95
10000,3,Leiden-LPA_Hybrid,0.3035848,0.6855672,0.911288,0.4370549,0.6475572,116
10000,3,Pure_Leiden,0.1952868,0.6906194,0.9478804,0.380994,0.8362095,98
10000,4,Leiden-LPA_Hybrid,0.2926376,0.6860993,0.917916,0.4614229,0.6740161,118
10000,4,Pure_Leiden,0.1925466,0.6906283,0.9476341,0.3800586,0.834745,98
20000,0,Leiden-LPA_Hybrid,0.7279334,0.6913835,0.8876076,0.342155,0.4986136,198
20000,0,Pure_Leiden,0.5791755,0.6970417,0.9265991,0.2607953,0.7037846,154
20000,1,Leiden-LPA_Hybrid,0.7528589,0.6921768,0.8846055,0.3277039,0.4871067,187
20000,1,Pure_Leiden,0.5848331,0.6970482,0.9237178,0.2491095,0.6918676,149
20000,2,Leiden-LPA_Hybrid,0.7190201,0.6919014,0.8877393,0.3350158,0.4990543,190
20000,2,Pure_Leiden,0.5885775,0.6970326,0.9240633,0.2524481,0.6920909,150
20000,3,Leiden-LPA_Hybrid,0.7319088,0.6916237,0.8898278,0.3490814,0.5061522,199
20000,3,Pure_Leiden,0.5951028,0.6970271,0.9265983,0.2644247,0.7007228,155
20000,4,Leiden-LPA_Hybrid,0.6669259,0.6921399,0.8890448,0.3422965,0.5020462,193
20000,4,Pure_Leiden,0.5835943,0.6970343,0.9253356,0.2551542,0.6977078,152
40000,0,Leiden-LPA_Hybrid,1.7884705,0.6955636,0.8758982,0.3081889,0.4035545,360
40000,0,Pure_Leiden,1.97943,0.699866,0.9059527,0.1694133,0.5619486,224
40000,1,Leiden-LPA_Hybrid,1.6426525,0.6954538,0.8795419,0.3167119,0.4159631,372
40000,1,Pure_Leiden,1.9325416,0.6998688,0.9066176,0.1702102,0.5662987,225
40000,2,Leiden-LPA_Hybrid,1.6224635,0.6955547,0.8772338,0.3143641,0.4060348,365
40000,2,Pure_Leiden,1.9419675,0.6998385,0.9080089,0.1742873,0.5716583,229
40000,3,Leiden-LPA_Hybrid,1.9350133,0.695475,0.8773269,0.3166932,0.4070664,368
40000,3,Pure_Leiden,2.2789533,0.6998619,0.908222,0.1732113,0.5733575,229
40000,4,Leiden-LPA_Hybrid,2.2376122,0.6956206,0.8771113,0.3125906,0.405913,362
40000,4,Pure_Leiden,1.9843659,0.6998358,0.9088269,0.1772388,0.5753862,231
80000,0,Leiden-LPA_Hybrid,4.2542698,0.6977128,0.8605841,0.2701795,0.3049905,629
80000,0,Pure_Leiden,12.1568182,0.7018849,0.887254,0.1035322,0.4342365,315
80000,1,Leiden-LPA_Hybrid,4.7466509,0.6975965,0.8626662,0.2697287,0.3124024,640
80000,1,Pure_Leiden,11.3597164,0.7018466,0.8875938,0.1046698,0.4338892,318
80000,2,Leiden-LPA_Hybrid,4.2272406,0.6975864,0.8586528,0.2671276,0.2994409,625
80000,2,Pure_Leiden,10.831651,0.7019027,0.8849875,0.0990963,0.4255285,307
80000,3,Leiden-LPA_Hybrid,4.4672213,0.6975704,0.8567324,0.2655495,0.2940161,624
80000,3,Pure_Leiden,10.7025688,0.701917,0.8848812,0.0997909,0.4244738,307
80000,4,Leiden-LPA_Hybrid,4.6152253,0.6975478,0.8602857,0.26919,0.3052122,629
80000,4,Pure_Leiden,11.3841486,0.7018863,0.8868288,0.1021687,0.4316757,314
160000,0,Leiden-LPA_Hybrid,11.0826056,0.6988298,0.8428335,0.2178894,0.2234846,1067
160000,0,Pure_Leiden,87.3476839,0.7027002,0.8685714,0.057533,0.3211656,435
160000,1,Leiden-LPA_Hybrid,10.9324079,0.6987659,0.8397229,0.2166898,0.2152714,1059
160000,1,Pure_Leiden,88.2844608,0.7026966,0.8687179,0.0567088,0.3233289,433
160000,2,Leiden-LPA_Hybrid,11.3365657,0.6986449,0.8411688,0.2174472,0.2182741,1075
160000,2,Pure_Leiden,89.5298066,0.7026844,0.8693557,0.0576928,0.3251469,437
160000,3,Leiden-LPA_Hybrid,13.2490859,0.6987563,0.842486,0.2165597,0.2232762,1073
160000,3,Pure_Leiden,86.6195414,0.7027017,0.8670351,0.0556534,0.3167279,426
160000,4,Leiden-LPA_Hybrid,11.6162169,0.6987085,0.8409116,0.2173134,0.2184179,1074
160000,4,Pure_Leiden,86.3725402,0.7026882,0.8663712,0.0548358,0.3150419,422
320000,0,Leiden-LPA_Hybrid,42.0430825,0.6999386,0.8287825,0.1989097,0.1606141,1826
320000,0,Pure_Leiden,403.1836252,0.7033526,0.8551176,0.0325195,0.2424242,598
320000,1,Leiden-LPA_Hybrid,46.3433692,0.6999963,0.8303664,0.198433,0.1634988,1833
320000,1,Pure_Leiden,407.8466353,0.7033605,0.855217,0.0322932,0.2428693,598
320000,2,Leiden-LPA_Hybrid,40.9376283,0.6999876,0.8298808,0.1980678,0.1634744,1826
320000,2,Pure_Leiden,404.1945939,0.7033511,0.8546083,0.0323268,0.2406925,595
320000,3,Leiden-LPA_Hybrid,42.2979927,0.6998546,0.8289143,0.2000621,0.1605365,1851
320000,3,Pure_Leiden,400.1910722,0.7033363,0.8539804,0.0316611,0.2391604,589
320000,4,Leiden-LPA_Hybrid,43.1492722,0.6999747,0.8289186,0.1978604,0.161119,1817
320000,4,Pure_Leiden,404.2979679,0.7033402,0.8543787,0.0315109,0.2411194,590
640000,0,Leiden-LPA_Hybrid,184.1419947,0.7004089,0.8173108,0.1971544,0.1142154,3540
640000,0,Pure_Leiden,1592.925065,0.7036349,0.8387318,0.0159863,0.1691733,803
640000,1,Leiden-LPA_Hybrid,185.2402062,0.7003991,0.8174204,0.1978009,0.1136657,3530
640000,1,Pure_Leiden,1601.0133095,0.7036294,0.8383244,0.0158006,0.1681599,799
640000,2,Leiden-LPA_Hybrid,180.3907878,0.7004213,0.8168932,0.1966103,0.1131601,3521
640000,2,Pure_Leiden,1609.2674456,0.703634,0.8386705,0.0159055,0.1689455,802
640000,3,Leiden-LPA_Hybrid,192.0357056,0.7004038,0.8168778,0.1980138,0.1129826,3548
640000,3,Pure_Leiden,1656.5298102,0.7036375,0.8389505,0.01605,0.1696657,805
640000,4,Leiden-LPA_Hybrid,185.4812255,0.7003826,0.8173686,0.1976985,0.1143159,3544
640000,4,Pure_Leiden,1590.6123848,0.7036405,0.8387513,0.0159073,0.1693797,802
