Graph,Core_Ratio,Repeat,Time (s),Modularity,NMI,F1_Score,ARI,Num_Communities
karate,0.0,0,0.0002739,0.0,0.0,0.3333333,0.0,1
karate,0.0,1,0.0001204,0.0,0.0,0.3333333,0.0,1
karate,0.0,2,0.0001211,0.0,0.0,0.3333333,0.0,1
karate,0.0,3,0.0001233,0.0,0.0,0.3333333,0.0,1
karate,0.0,4,0.0001166,0.0,0.0,0.3333333,0.0,1
karate,0.0,5,0.0001166,0.0,0.0,0.3333333,0.0,1
karate,0.0,6,0.0001152,0.0,0.0,0.3333333,0.0,1
karate,0.0,7,0.0001166,0.0,0.0,0.3333333,0.0,1
karate,0.0,8,0.0001304,0.0,0.0,0.3333333,0.0,1
karate,0.0,9,0.0001163,0.0,0.0,0.3333333,0.0,1
karate,0.1,0,0.0021625,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,1,0.0011902,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,2,0.0010126,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,3,0.0011606,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,4,0.0009787,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,5,0.0010681,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,6,0.0009842,0.3036654,0.3169932,0.7895668,0.3274021,2
karate,0.1,7,0.0010464,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,8,0.0010481,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.1,9,0.0010617,0.3523176,0.7323776,0.9409722,0.771725,2
karate,0.2,0,0.0014482,0.3523176,0.7323776,0.9409722,0.771725,2
karate,0.2,1,0.0011628,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.2,2,0.0009651,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.2,3,0.0012071,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.2,4,0.0012479,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.2,5,0.0012033,0.3523176,0.7323776,0.9409722,0.771725,2
karate,0.2,6,0.0010147,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.2,7,0.0010474,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.2,8,0.0009868,0.3523176,0.7323776,0.9409722,0.771725,2
karate,0.2,9,0.0013924,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,0,0.0011113,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,1,0.0010409,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,2,0.0010359,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,3,0.0010676,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,4,0.0010195,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,5,0.0009925,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,6,0.0010233,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,7,0.0010221,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,8,0.0009978,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.3,9,0.0009995,0.3717949,0.677243,0.9411765,0.7716263,2
karate,0.4,0,0.0016384,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,1,0.0011778,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,2,0.0009909,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,3,0.0011492,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,4,0.0010169,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,5,0.0012562,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,6,0.0011477,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,7,0.0010843,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,8,0.0009654,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.4,9,0.0011985,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,0,0.0013611,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,1,0.001044,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,2,0.0010219,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,3,0.0010419,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,4,0.0010643,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,5,0.0010281,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,6,0.0010405,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,7,0.0012538,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,8,0.0010464,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.5,9,0.0011396,0.3806706,0.586559,0.8178571,0.6118493,3
karate,0.6,0,0.0013921,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,1,0.0012543,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,2,0.0010717,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,3,0.0013149,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,4,0.0010495,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,5,0.0013385,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,6,0.0011132,0.3883136,0.4744837,0.3964286,0.42549,4
karate,0.6,7,0.0011895,0.3883136,0.4744837,0.3964286,0.42549,4
karate,0.6,8,0.0013697,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.6,9,0.00107,0.3883136,0.4744837,0.514157,0.42549,4
karate,0.7,0,0.0021288,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,1,0.0011406,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.7,2,0.0010834,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,3,0.0010836,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,4,0.0010965,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.7,5,0.0010903,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,6,0.0011342,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,7,0.0011306,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,8,0.0013776,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.7,9,0.0010853,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.8,0,0.0015271,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,1,0.0011873,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,2,0.001122,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,3,0.0011182,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,4,0.0011599,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,5,0.0012515,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,6,0.0010996,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,7,0.0012684,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,8,0.0011218,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.8,9,0.0014331,0.4020381,0.5683801,0.5665991,0.5905529,3
karate,0.9,0,0.0017869,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,1,0.0011277,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,2,0.001374,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,3,0.0011053,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,4,0.0012617,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,5,0.0011849,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,6,0.0013213,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,7,0.0011387,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,8,0.0011189,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,0.9,9,0.0012951,0.4155983,0.4976792,0.3896552,0.4292907,4
karate,1.0,0,0.0003934,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,1,0.000267,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,2,0.0002718,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,3,0.0002699,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,4,0.0002298,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,5,0.0002403,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,6,0.0002334,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,7,0.0002429,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,8,0.0002511,0.4197896,0.5878497,0.3860837,0.4645911,4
karate,1.0,9,0.0002787,0.4197896,0.5878497,0.3860837,0.4645911,4
cora,0.0,0,0.0196004,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,1,0.0189912,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,2,0.0189557,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,3,0.0189471,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,4,0.018944,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,5,0.0189414,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,6,0.0188997,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,7,0.0190494,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,8,0.0188386,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.0,9,0.0190034,0.2423767,0.1687335,0.0387088,0.0072333,26
cora,0.1,0,0.0308657,0.7099595,0.4191789,0.0252439,0.2402845,134
cora,0.1,1,0.029289,0.710604,0.4103976,0.0256069,0.2321561,129
cora,0.1,2,0.0258007,0.7084193,0.4139618,0.0246477,0.2361175,134
cora,0.1,3,0.025229,0.7092363,0.4154946,0.0237935,0.2344405,139
cora,0.1,4,0.0250874,0.7221277,0.4273878,0.0252062,0.2397543,134
cora,0.1,5,0.0287263,0.7132369,0.4163763,0.0249516,0.2335745,131
cora,0.1,6,0.0254393,0.712816,0.4271186,0.0255735,0.2507065,130
cora,0.1,7,0.0251899,0.7079692,0.4148715,0.0254836,0.2388164,130
cora,0.1,8,0.0289495,0.7157926,0.4236787,0.025603,0.2475729,133
cora,0.1,9,0.0327096,0.7144003,0.4095812,0.0242205,0.2256443,132
cora,0.2,0,0.0270357,0.7571514,0.4419757,0.046433,0.2703148,79
cora,0.2,1,0.0261211,0.7565088,0.4342703,0.0487217,0.274375,75
cora,0.2,2,0.0265694,0.759967,0.4423172,0.0495522,0.2693557,78
cora,0.2,3,0.0284922,0.7586587,0.4470043,0.0520601,0.2745482,70
cora,0.2,4,0.0295877,0.7585744,0.44233,0.0468545,0.2662131,76
cora,0.2,5,0.0232573,0.7606358,0.4452151,0.0519992,0.2799945,74
cora,0.2,6,0.0256042,0.7592055,0.4502707,0.0497271,0.2749848,74
cora,0.2,7,0.0265474,0.7611637,0.4427835,0.0530171,0.2912564,76
cora,0.2,8,0.0260162,0.7570255,0.4421341,0.0438267,0.2650542,83
cora,0.2,9,0.0263045,0.7557212,0.4408945,0.0454949,0.2689232,77
cora,0.3,0,0.0254912,0.7806788,0.4475725,0.0726453,0.2750242,53
cora,0.3,1,0.0273907,0.7789964,0.4387056,0.0679323,0.2616068,55
cora,0.3,2,0.0237818,0.7779007,0.4326273,0.069609,0.2692299,53
cora,0.3,3,0.0242918,0.7827585,0.4506205,0.0632872,0.2684636,57
cora,0.3,4,0.0235879,0.7782008,0.4402439,0.0714657,0.2767485,53
cora,0.3,5,0.0582399,0.7791098,0.4438118,0.0707265,0.2687584,53
cora,0.3,6,0.0242338,0.7770473,0.4453385,0.0722703,0.2979817,53
