Graph,Repeat,Algorithm,Time (s),Modularity,NMI,F1_Score,ARI
karate,0,Leiden-LPA_Hybrid,0.0020473,0.3806706,0.586559,0.8178571,0.6118493
karate,1,Leiden-LPA_Hybrid,0.0015574,0.3806706,0.586559,0.8178571,0.6118493
karate,2,Leiden-LPA_Hybrid,0.0011098,0.3806706,0.586559,0.8178571,0.6118493
karate,3,Leiden-LPA_Hybrid,0.0014591,0.3806706,0.586559,0.8178571,0.6118493
karate,4,Leiden-LPA_Hybrid,0.0011921,0.3806706,0.586559,0.8178571,0.6118493
karate,5,Leiden-LPA_Hybrid,0.0010505,0.3806706,0.586559,0.8178571,0.6118493
karate,6,Leiden-LPA_Hybrid,0.0014055,0.3806706,0.586559,0.8178571,0.6118493
karate,7,Leiden-LPA_Hybrid,0.0011053,0.3806706,0.586559,0.8178571,0.6118493
karate,8,Leiden-LPA_Hybrid,0.0015271,0.3806706,0.586559,0.8178571,0.6118493
karate,9,Leiden-LPA_Hybrid,0.0010629,0.3806706,0.586559,0.8178571,0.6118493
cora,0,Leiden-LPA_Hybrid,0.028723,0.7861513,0.4468481,0.0760415,0.2932616
cora,1,Leiden-LPA_Hybrid,0.0261247,0.7827866,0.4340101,0.0849934,0.2830847
cora,2,Leiden-LPA_Hybrid,0.0267556,0.7874625,0.4556408,0.0757278,0.2981924
cora,3,Leiden-LPA_Hybrid,0.025934,0.7865867,0.4494854,0.0860514,0.2971172
cora,4,Leiden-LPA_Hybrid,0.0263956,0.787847,0.4456838,0.0840042,0.2951832
cora,5,Leiden-LPA_Hybrid,0.0255897,0.7877007,0.4382182,0.0764419,0.2861845
cora,6,Leiden-LPA_Hybrid,0.0257518,0.789432,0.4519457,0.0784678,0.2934271
cora,7,Leiden-LPA_Hybrid,0.026444,0.7871191,0.4458571,0.0793797,0.290434
cora,8,Leiden-LPA_Hybrid,0.0262716,0.7860057,0.4341095,0.0814262,0.2930619
cora,9,Leiden-LPA_Hybrid,0.026978,0.7846163,0.4384325,0.0814622,0.2882133
citeseer,0,Leiden-LPA_Hybrid,0.021724,0.8174136,0.3577827,0.0161827,0.1694707
citeseer,1,Leiden-LPA_Hybrid,0.0221474,0.8185782,0.35563,0.01466,0.1483082
citeseer,2,Leiden-LPA_Hybrid,0.0208573,0.8163029,0.3576929,0.0173174,0.1718934
citeseer,3,Leiden-LPA_Hybrid,0.021899,0.816526,0.3574667,0.0169078,0.1672804
citeseer,4,Leiden-LPA_Hybrid,0.0228384,0.8160443,0.3550918,0.0156611,0.1531324
citeseer,5,Leiden-LPA_Hybrid,0.0240085,0.8161571,0.3595469,0.0160371,0.1688135
citeseer,6,Leiden-LPA_Hybrid,0.0239699,0.8158568,0.3576736,0.0156825,0.163767
citeseer,7,Leiden-LPA_Hybrid,0.0216856,0.8155473,0.3543887,0.0157679,0.1555297
citeseer,8,Leiden-LPA_Hybrid,0.0215638,0.8174243,0.3600538,0.0175383,0.1773959
citeseer,9,Leiden-LPA_Hybrid,0.0219095,0.8168628,0.3567541,0.0168779,0.1684448
pubmed,0,Leiden-LPA_Hybrid,0.2819586,0.7788338,0.2099661,0.0486375,0.1068329
pubmed,1,Leiden-LPA_Hybrid,0.2766538,0.7769831,0.216382,0.0534405,0.1231819
pubmed,2,Leiden-LPA_Hybrid,0.274545,0.7783429,0.2102529,0.0622017,0.1159663
pubmed,3,Leiden-LPA_Hybrid,0.2606573,0.7757062,0.2207485,0.0595096,0.1427134
pubmed,4,Leiden-LPA_Hybrid,0.4203055,0.7775895,0.2178372,0.0458023,0.1376292
pubmed,5,Leiden-LPA_Hybrid,0.2886863,0.7786542,0.2170833,0.0507294,0.121344
pubmed,6,Leiden-LPA_Hybrid,0.278666,0.779495,0.2196392,0.0555342,0.1199116
pubmed,7,Leiden-LPA_Hybrid,0.2817204,0.7775066,0.2184905,0.0651212,0.1252609
pubmed,8,Leiden-LPA_Hybrid,0.2748711,0.7767983,0.2137282,0.063013,0.1341726
pubmed,9,Leiden-LPA_Hybrid,0.2758563,0.7786592,0.2057798,0.0510865,0.1082042
dolphin,0,Leiden-LPA_Hybrid,0.0016661,0.5208457,0.5968028,0.3363755,0.3901613
dolphin,1,Leiden-LPA_Hybrid,0.0016403,0.5219928,0.6331805,0.4345146,0.4237827
dolphin,2,Leiden-LPA_Hybrid,0.0016623,0.5208457,0.5968028,0.3363755,0.3901613
dolphin,3,Leiden-LPA_Hybrid,0.0019176,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,4,Leiden-LPA_Hybrid,0.0015268,0.5208457,0.5968028,0.3363755,0.3901613
dolphin,5,Leiden-LPA_Hybrid,0.0017521,0.5056564,0.5007142,0.329253,0.3324836
dolphin,6,Leiden-LPA_Hybrid,0.0015426,0.5208457,0.5968028,0.3363755,0.3901613
dolphin,7,Leiden-LPA_Hybrid,0.001729,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,8,Leiden-LPA_Hybrid,0.0017006,0.5176417,0.6307047,0.4485007,0.4181603
dolphin,9,Leiden-LPA_Hybrid,0.0015948,0.5208457,0.5968028,0.3363755,0.3901613
football,0,Leiden-LPA_Hybrid,0.0023217,0.5278456,0.7215148,0.390671,0.451284
football,1,Leiden-LPA_Hybrid,0.0024951,0.5238697,0.7429773,0.3954806,0.4360042
football,2,Leiden-LPA_Hybrid,0.00261,0.5220694,0.7407533,0.3984668,0.4326852
football,3,Leiden-LPA_Hybrid,0.0024192,0.5238697,0.7429773,0.3954806,0.4360042
football,4,Leiden-LPA_Hybrid,0.0023782,0.5238697,0.7429773,0.3954806,0.4360042
football,5,Leiden-LPA_Hybrid,0.0021195,0.5238697,0.7429773,0.3954806,0.4360042
football,6,Leiden-LPA_Hybrid,0.0025101,0.5238697,0.7429773,0.3954806,0.4360042
football,7,Leiden-LPA_Hybrid,0.0022402,0.5464594,0.7685164,0.4878355,0.4935227
football,8,Leiden-LPA_Hybrid,0.0023992,0.5238697,0.7429773,0.3954806,0.4360042
football,9,Leiden-LPA_Hybrid,0.002239,0.5238697,0.7429773,0.3954806,0.4360042
mexican,0,Leiden-LPA_Hybrid,0.0012455,0.3479801,0.2318253,0.8097826,0.2303653
mexican,1,Leiden-LPA_Hybrid,0.0012357,0.2890277,0.2572425,0.788975,0.1503609
mexican,2,Leiden-LPA_Hybrid,0.0010214,0.2890277,0.2572425,0.788975,0.1503609
mexican,3,Leiden-LPA_Hybrid,0.0011022,0.2890277,0.2572425,0.788975,0.1503609
mexican,4,Leiden-LPA_Hybrid,0.001169,0.2890277,0.2572425,0.788975,0.1503609
mexican,5,Leiden-LPA_Hybrid,0.0009975,0.2890277,0.2572425,0.788975,0.1503609
mexican,6,Leiden-LPA_Hybrid,0.0013456,0.2890277,0.2572425,0.788975,0.1503609
mexican,7,Leiden-LPA_Hybrid,0.0013044,0.2890277,0.2572425,0.788975,0.1503609
mexican,8,Leiden-LPA_Hybrid,0.0012498,0.3479801,0.2318253,0.8097826,0.2303653
mexican,9,Leiden-LPA_Hybrid,0.0010366,0.3479801,0.2318253,0.8097826,0.2303653
polblogs,0,Leiden-LPA_Hybrid,0.0437896,0.4258625,0.6990017,0.632172,0.7995509
polblogs,1,Leiden-LPA_Hybrid,0.0437088,0.4258625,0.6990017,0.632172,0.7995509
polblogs,2,Leiden-LPA_Hybrid,0.0426452,0.4258625,0.6990017,0.632172,0.7995509
polblogs,3,Leiden-LPA_Hybrid,0.0429776,0.4258625,0.6990017,0.632172,0.7995509
polblogs,4,Leiden-LPA_Hybrid,0.0432982,0.4258625,0.6990017,0.632172,0.7995509
polblogs,5,Leiden-LPA_Hybrid,0.1303205,0.4258625,0.6990017,0.632172,0.7995509
polblogs,6,Leiden-LPA_Hybrid,0.0436714,0.4258625,0.6990017,0.632172,0.7995509
polblogs,7,Leiden-LPA_Hybrid,0.0451088,0.4258625,0.6990017,0.632172,0.7995509
polblogs,8,Leiden-LPA_Hybrid,0.0447488,0.4258625,0.6990017,0.632172,0.7995509
polblogs,9,Leiden-LPA_Hybrid,0.0443826,0.4258625,0.6990017,0.632172,0.7995509
