Graph,Core_Ratio,Centrality_Method,Repeat,Time,Modularity,NMI,F1_Score,ARI,Num_Communities
100,0.4,pagerank,0,0.0034807,0.5085427,0.9610441,0.9765813,0.9559589,7
100,0.4,pagerank,1,0.002815,0.5036777,0.9340579,0.8282799,0.8696747,6
100,0.4,pagerank,2,0.0024738,0.5085427,0.9610441,0.9765813,0.9559589,7
100,0.4,pagerank,3,0.0026753,0.5085427,0.9610441,0.9765813,0.9559589,7
100,0.4,pagerank,4,0.0024717,0.5085427,0.9610441,0.9765813,0.9559589,7
500,0.4,pagerank,0,0.0142963,0.6386466,0.935059,0.6670463,0.779504,19
500,0.4,pagerank,1,0.0130589,0.6381326,0.9365631,0.6626152,0.7905573,19
500,0.4,pagerank,2,0.0153508,0.6396527,0.9294097,0.6289052,0.758971,18
500,0.4,pagerank,3,0.0131314,0.6386466,0.935059,0.6670463,0.779504,19
500,0.4,pagerank,4,0.0139427,0.6356046,0.9256041,0.6277787,0.7595205,18
1000,0.4,pagerank,0,0.0281527,0.6583178,0.9524057,0.671853,0.8555725,29
1000,0.4,pagerank,1,0.0273867,0.6582652,0.9522681,0.672165,0.8548775,29
1000,0.4,pagerank,2,0.0270221,0.6579452,0.9513734,0.6741118,0.8505084,29
1000,0.4,pagerank,3,0.0266685,0.65881,0.9489105,0.6475112,0.8435621,28
1000,0.4,pagerank,4,0.0269585,0.6579452,0.9513734,0.6741118,0.8505084,29
5000,0.4,pagerank,0,0.2944233,0.6863453,0.9105734,0.4140337,0.6242553,80
5000,0.4,pagerank,1,0.2343614,0.6863771,0.9144031,0.4246301,0.6448785,82
5000,0.4,pagerank,2,0.2462869,0.6863819,0.9123065,0.4118258,0.6363472,80
5000,0.4,pagerank,3,0.2453141,0.6868277,0.912303,0.4127818,0.6389702,80
5000,0.4,pagerank,4,0.2413747,0.6866089,0.9147907,0.4237762,0.6490394,82
10000,0.4,pagerank,0,0.6664457,0.6906002,0.9089441,0.380438,0.5943474,132
10000,0.4,pagerank,1,0.7142251,0.6903336,0.9035144,0.3648004,0.5727573,128
