Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities
01,0,Leiden-LPA_Hybrid,1.7353489,0.8961967,0.8968067,0.3385405,0.4051755,536
01,0,Pure_Leiden,4.0671906,0.8994761,0.9317175,0.2623359,0.6271077,438
01,0,Pure_LPA,0.9546828,0.8980362,0.9999551,0.9990356,0.999807,1259
01,1,Leiden-LPA_Hybrid,1.7316225,0.8961492,0.8959652,0.3350217,0.4048442,532
01,1,Pure_Leiden,4.1510479,0.8994844,0.9301505,0.2571577,0.6175555,431
01,1,Pure_LPA,0.9572301,0.8980387,0.9998526,0.9973362,0.9991679,1257
01,2,Leiden-LPA_Hybrid,1.8832836,0.8963372,0.8969794,0.3347664,0.4118462,532
01,2,Pure_Leiden,4.4827406,0.8994984,0.9325412,0.2655986,0.6319375,442
01,2,Pure_LPA,0.9628525,0.8980268,0.9997759,0.9979668,0.9968191,1258
01,3,Leiden-LPA_Hybrid,1.7643049,0.8961594,0.8959813,0.3347265,0.4063633,532
01,3,Pure_Leiden,4.5617735,0.8994781,0.9335794,0.2687706,0.638168,447
01,3,Pure_LPA,1.0840268,0.8980361,0.9999505,0.9991299,0.9997097,1259
01,4,Leiden-LPA_Hybrid,1.941011,0.8960936,0.8938684,0.333285,0.3932317,528
01,4,Pure_Leiden,4.5236568,0.8994893,0.9314639,0.2604351,0.6266628,436
01,4,Pure_LPA,0.9976778,0.8980348,1.0,1.0,1.0,1260
03,0,Leiden-LPA_Hybrid,2.1659439,0.6972473,0.8664527,0.2854976,0.3037353,451
03,0,Pure_Leiden,4.0157928,0.701729,0.8958323,0.1424073,0.4610071,290
03,0,Pure_LPA,1.30849,0.6986553,0.9996965,0.9943178,0.9977003,1273
03,1,Leiden-LPA_Hybrid,2.5384848,0.6969933,0.8617916,0.278551,0.2910217,441
03,1,Pure_Leiden,4.3002865,0.7017297,0.8963991,0.1426602,0.462866,292
03,1,Pure_LPA,1.3174207,0.6986542,0.9994988,0.9923082,0.9967524,1271
03,2,Leiden-LPA_Hybrid,2.2538078,0.6970617,0.8632318,0.2794957,0.2966219,442
03,2,Pure_Leiden,4.3069947,0.7017235,0.8977554,0.1468372,0.4678311,297
03,2,Pure_LPA,1.3100507,0.6986515,0.9998741,0.9981335,0.9990813,1277
03,3,Leiden-LPA_Hybrid,2.096314,0.6971529,0.8653214,0.2802329,0.3018939,444
03,3,Pure_Leiden,4.0575681,0.7017329,0.8927412,0.1349496,0.4472506,281
03,3,Pure_LPA,1.543242,0.6986527,0.9995343,0.9932094,0.9956253,1272
03,4,Leiden-LPA_Hybrid,2.3950121,0.6973001,0.8669917,0.2791637,0.3108345,444
03,4,Pure_Leiden,4.0848646,0.7017093,0.8972253,0.1457549,0.4658793,295
03,4,Pure_LPA,1.3089733,0.6986517,0.9995563,0.994481,0.9962306,1273
05,0,Leiden-LPA_Hybrid,2.809027,0.4973535,0.8223755,0.2061455,0.2078397,341
05,0,Pure_Leiden,3.2434716,0.5038417,0.8545518,0.0693388,0.3176674,185
05,0,Pure_LPA,1.8479786,0.4987824,0.9983478,0.9798516,0.9851316,1258
05,1,Leiden-LPA_Hybrid,2.5182834,0.4974699,0.8200011,0.2013712,0.2025591,336
05,1,Pure_Leiden,3.3104906,0.5038332,0.8545203,0.0698502,0.3176036,185
05,1,Pure_LPA,1.860837,0.4987789,0.999017,0.9868584,0.9915498,1265
05,2,Leiden-LPA_Hybrid,2.3378813,0.49725,0.8205459,0.2053297,0.2041669,342
05,2,Pure_Leiden,3.1491282,0.5038149,0.8561235,0.0698963,0.3238965,187
05,2,Pure_LPA,1.6150894,0.4987653,0.9988478,0.9856099,0.9901344,1265
05,3,Leiden-LPA_Hybrid,2.6529274,0.4970622,0.821142,0.2089992,0.2053366,348
05,3,Pure_Leiden,3.2968938,0.5038049,0.850836,0.0660723,0.3075017,178
05,3,Pure_LPA,1.8499894,0.4987238,0.998348,0.9771634,0.9864283,1257
05,4,Leiden-LPA_Hybrid,2.7713501,0.4977234,0.8221277,0.2016489,0.2092932,333
05,4,Pure_Leiden,3.3147714,0.5037645,0.8531523,0.0676759,0.3128893,183
05,4,Pure_LPA,1.601563,0.4986979,0.9994691,0.9919587,0.9961098,1274
07,0,Leiden-LPA_Hybrid,3.0200849,0.2973503,0.7181547,0.0256684,0.1046707,95
07,0,Pure_Leiden,3.4235067,0.3065154,0.8004171,0.0284217,0.1953122,108
07,0,Pure_LPA,2.6793973,0.2982051,0.9912158,0.9176978,0.9078859,1227
07,1,Leiden-LPA_Hybrid,2.9033902,0.2979284,0.7280543,0.0280776,0.1134657,110
07,1,Pure_Leiden,3.6128993,0.3065257,0.7994403,0.0282104,0.1942824,107
07,1,Pure_LPA,2.6676874,0.2977605,0.9930657,0.9201398,0.9463398,1241
07,2,Leiden-LPA_Hybrid,3.0758209,0.2977225,0.7232364,0.0248026,0.1096551,98
07,2,Pure_Leiden,3.4514253,0.3065708,0.7987799,0.0274433,0.1936529,106
07,2,Pure_LPA,2.6529233,0.2976561,0.9922785,0.9232687,0.9414031,1250
07,3,Leiden-LPA_Hybrid,3.0196683,0.2981701,0.7266638,0.0285007,0.1100117,104
07,3,Pure_Leiden,3.6244476,0.3066006,0.79752,0.0269941,0.1906829,105
07,3,Pure_LPA,2.6613255,0.2980696,0.9916972,0.9145312,0.9264691,1230
07,4,Leiden-LPA_Hybrid,2.8425934,0.2977937,0.7320642,0.0318451,0.1153307,109
07,4,Pure_Leiden,3.4411309,0.306642,0.8018853,0.0294015,0.1978051,110
07,4,Pure_LPA,2.6340878,0.2979533,0.9929647,0.9254508,0.9444262,1243
09,0,Leiden-LPA_Hybrid,3.0009165,0.0737399,0.0320688,0.0003533,3.46e-05,8
09,0,Pure_Leiden,4.1120405,0.1752228,0.0362459,0.0002778,0.0001545,13
09,0,Pure_LPA,1.8374376,0.0,0.0,3.1e-06,0.0,1
09,1,Leiden-LPA_Hybrid,3.045018,0.0857822,0.0319685,0.0001537,4.32e-05,7
09,1,Pure_Leiden,4.1615558,0.1740318,0.0389224,0.000539,0.0001447,17
09,1,Pure_LPA,1.8703837,0.0,0.0,3.1e-06,0.0,1
09,2,Leiden-LPA_Hybrid,3.4549065,0.1324931,0.0284013,0.0002133,8.44e-05,7
09,2,Pure_Leiden,4.5068467,0.1750805,0.0313253,0.0002318,0.0001704,10
09,2,Pure_LPA,1.7662172,0.0,0.0,3.1e-06,0.0,1
09,3,Leiden-LPA_Hybrid,3.2256312,0.1579064,0.030387,0.0001501,0.0001377,7
09,3,Pure_Leiden,4.4206433,0.1758722,0.0326649,0.0002156,0.000185,8
09,3,Pure_LPA,1.861474,0.0,0.0,3.1e-06,0.0,1
09,4,Leiden-LPA_Hybrid,3.551012,0.1610327,0.0315183,0.0002737,0.0001487,8
09,4,Pure_Leiden,4.3022549,0.1760222,0.0371349,0.0002495,0.0001653,11
09,4,Pure_LPA,1.5452061,0.0,0.0,3.1e-06,0.0,1
