Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI
karate,0,Leiden-LPA_Hybrid,0.0021493,0.3806706,0.586559,0.8178571,0.6118493
karate,0,Pure_Leiden,0.0002835,0.4197896,0.5878497,0.3860837,0.4645911
karate,0,Louvain,0.0021927,0.3920118,0.4943787,0.6146469,0.4069691
karate,0,Pure_LPA,0.000108,0.3621795,0.4875429,0.5098901,0.4898759
karate,1,Leiden-LPA_Hybrid,0.0011816,0.3806706,0.586559,0.8178571,0.6118493
karate,1,Pure_Leiden,0.0002906,0.4197896,0.5878497,0.3860837,0.4645911
karate,1,Louvain,0.001111,0.4155983,0.4976792,0.5665991,0.4292907
karate,1,Pure_LPA,0.0001402,0.3362919,0.5610231,0.5682111,0.5492194
karate,2,Leiden-LPA_Hybrid,0.0016227,0.3806706,0.586559,0.8178571,0.6118493
karate,2,Pure_Leiden,0.0002954,0.4197896,0.5878497,0.3860837,0.4645911
karate,2,Louvain,0.0011182,0.4155983,0.4976792,0.3896552,0.4292907
karate,2,Pure_LPA,0.0001357,0.0,0.0,0.3333333,0.0
karate,3,Leiden-LPA_Hybrid,0.0014248,0.3806706,0.586559,0.8178571,0.6118493
karate,3,Pure_Leiden,0.0003314,0.4197896,0.5878497,0.3860837,0.4645911
karate,3,Louvain,0.0011051,0.4155983,0.4976792,0.3896552,0.4292907
karate,3,Pure_LPA,0.0001073,0.3362919,0.5610231,0.5682111,0.5492194
karate,4,Leiden-LPA_Hybrid,0.0011261,0.3806706,0.586559,0.8178571,0.6118493
karate,4,Pure_Leiden,0.0002468,0.4197896,0.5878497,0.3860837,0.4645911
karate,4,Louvain,0.0010006,0.4188034,0.4899672,0.5665991,0.3922385
karate,4,Pure_LPA,0.0001388,0.3362919,0.5610231,0.5682111,0.5492194
karate,5,Leiden-LPA_Hybrid,0.0015502,0.3806706,0.586559,0.8178571,0.6118493
karate,5,Pure_Leiden,0.0003185,0.4197896,0.5878497,0.3860837,0.4645911
karate,5,Louvain,0.0008945,0.4197896,0.5878497,0.5857143,0.4645911
karate,5,Pure_LPA,0.0001397,0.1937048,0.4364736,0.4645113,0.3533615
karate,6,Leiden-LPA_Hybrid,0.0013649,0.3806706,0.586559,0.8178571,0.6118493
