Graph,Algorithm,Time (s),Modularity,NMI
citeseer,Leiden,0.0126 (±0.0002),0.8557 (±0.0005),0.3322 (±0.0039)
citeseer,Leiden-LPA_Hybrid,0.0224 (±0.0013),0.8159 (±0.0016),0.3557 (±0.0025)
cora,Leiden,0.0164 (±0.0003),0.8118 (±0.0010),0.4728 (±0.0091)
cora,Leiden-LPA_Hybrid,0.0263 (±0.0012),0.7852 (±0.0018),0.4415 (±0.0042)
dolphin,Leiden,0.0005 (±0.0001),0.5249 (±0.0039),0.5466 (±0.0555)
dolphin,Leiden-LPA_Hybrid,0.0017 (±0.0002),0.5174 (±0.0044),0.6075 (±0.0408)
football,Leiden,0.0008 (±0.0001),0.6046 (±0.0000),0.8905 (±0.0006)
football,Leiden-LPA_Hybrid,0.0024 (±0.0002),0.5337 (±0.0128),0.7555 (±0.0206)
karate,Leiden,0.0003 (±0.0000),0.4198 (±0.0000),0.5878 (±0.0000)
karate,Leiden-LPA_Hybrid,0.0014 (±0.0004),0.3807 (±0.0000),0.5866 (±0.0000)
mexican,Leiden,0.0003 (±0.0000),0.3555 (±0.0055),0.2435 (±0.0244)
mexican,Leiden-LPA_Hybrid,0.0012 (±0.0001),0.3137 (±0.0313),0.2392 (±0.0203)
polblogs,Leiden,0.0140 (±0.0003),0.4270 (±0.0001),0.6394 (±0.0100)
polblogs,Leiden-LPA_Hybrid,0.0434 (±0.0002),0.4259 (±0.0000),0.6990 (±0.0000)
pubmed,Leiden,0.4098 (±0.0079),0.7821 (±0.0015),0.2058 (±0.0052)
pubmed,Leiden-LPA_Hybrid,0.3053 (±0.0371),0.7775 (±0.0018),0.2153 (±0.0068)
