Graph,Repeat,Algorithm,Time (s),Modularity,NMI
karate,0,Leiden-LPA_Hybrid,0.0022871,0.3806706,0.586559
karate,0,Leiden,0.0002856,0.4197896,0.5878497
karate,1,Leiden-LPA_Hybrid,0.0015759,0.3806706,0.586559
karate,1,Leiden,0.0002851,0.4197896,0.5878497
karate,2,Leiden-LPA_Hybrid,0.0012743,0.3806706,0.586559
karate,2,Leiden,0.0002666,0.4197896,0.5878497
karate,3,Leiden-LPA_Hybrid,0.0013433,0.3806706,0.586559
karate,3,Leiden,0.0002925,0.4197896,0.5878497
karate,4,Leiden-LPA_Hybrid,0.001317,0.3806706,0.586559
karate,4,Leiden,0.0002396,0.4197896,0.5878497
karate,5,Leiden-LPA_Hybrid,0.0012739,0.3806706,0.586559
karate,5,Leiden,0.0003173,0.4197896,0.5878497
karate,6,Leiden-LPA_Hybrid,0.0011623,0.3806706,0.586559
karate,6,Leiden,0.0002387,0.4197896,0.5878497
karate,7,Leiden-LPA_Hybrid,0.0011001,0.3806706,0.586559
karate,7,Leiden,0.0002975,0.4197896,0.5878497
karate,8,Leiden-LPA_Hybrid,0.0010796,0.3806706,0.586559
karate,8,Leiden,0.0002463,0.4197896,0.5878497
karate,9,Leiden-LPA_Hybrid,0.0013573,0.3806706,0.586559
karate,9,Leiden,0.0003066,0.4197896,0.5878497
cora,0,Leiden-LPA_Hybrid,0.0278988,0.7880129,0.4428124
cora,0,Leiden,0.0163875,0.8129667,0.4795868
cora,1,Leiden-LPA_Hybrid,0.0262067,0.7842124,0.4415889
cora,1,Leiden,0.0162699,0.8132368,0.4607939
cora,2,Leiden-LPA_Hybrid,0.0262151,0.7828939,0.437194
cora,2,Leiden,0.0167234,0.8113111,0.4720069
cora,3,Leiden-LPA_Hybrid,0.026629,0.7840681,0.432585
cora,3,Leiden,0.016274,0.8124121,0.4726905
cora,4,Leiden-LPA_Hybrid,0.0256553,0.7853853,0.4461386
cora,4,Leiden,0.0168703,0.8106489,0.4863572
cora,5,Leiden-LPA_Hybrid,0.0281658,0.7871464,0.4458356
cora,5,Leiden,0.0162947,0.81161,0.4695647
cora,6,Leiden-LPA_Hybrid,0.0240262,0.783042,0.4403703
cora,6,Leiden,0.016278,0.810396,0.4681002
cora,7,Leiden-LPA_Hybrid,0.0264297,0.7842356,0.4399726
cora,7,Leiden,0.0163395,0.8107999,0.4584625
cora,8,Leiden-LPA_Hybrid,0.0264657,0.7871221,0.4441266
cora,8,Leiden,0.0167716,0.8124052,0.4777119
cora,9,Leiden-LPA_Hybrid,0.0257778,0.7861954,0.4443742
cora,9,Leiden,0.0161455,0.8122174,0.4828567
citeseer,0,Leiden-LPA_Hybrid,0.0222123,0.8181784,0.3546284
citeseer,0,Leiden,0.0125418,0.8563826,0.3355263
citeseer,1,Leiden-LPA_Hybrid,0.0211096,0.8166637,0.3536858
citeseer,1,Leiden,0.0123775,0.8559187,0.3389899
citeseer,2,Leiden-LPA_Hybrid,0.0220773,0.814869,0.3570479
citeseer,2,Leiden,0.0123959,0.8553945,0.3324596
citeseer,3,Leiden-LPA_Hybrid,0.0229883,0.8143328,0.3538326
citeseer,3,Leiden,0.0125816,0.8557513,0.3360179
citeseer,4,Leiden-LPA_Hybrid,0.0196483,0.8185163,0.352953
citeseer,4,Leiden,0.0125444,0.8557406,0.3285399
citeseer,5,Leiden-LPA_Hybrid,0.0237095,0.8137511,0.356127
citeseer,5,Leiden,0.0127213,0.8544628,0.3293515
citeseer,6,Leiden-LPA_Hybrid,0.0218008,0.8160378,0.3536883
citeseer,6,Leiden,0.0131366,0.8559612,0.3301857
citeseer,7,Leiden-LPA_Hybrid,0.023458,0.8155527,0.3556135
citeseer,7,Leiden,0.012665,0.8556985,0.3320425
citeseer,8,Leiden-LPA_Hybrid,0.0240874,0.8161286,0.3602375
citeseer,8,Leiden,0.0126154,0.8560438,0.3330622
citeseer,9,Leiden-LPA_Hybrid,0.0225606,0.8150153,0.3590618
citeseer,9,Leiden,0.0128629,0.8559111,0.3260236
pubmed,0,Leiden-LPA_Hybrid,0.2887452,0.77414,0.2263655
pubmed,0,Leiden,0.4075406,0.7834209,0.2103366
pubmed,1,Leiden-LPA_Hybrid,0.2883441,0.7751989,0.2199565
pubmed,1,Leiden,0.4056404,0.7834972,0.2092818
pubmed,2,Leiden-LPA_Hybrid,0.2768362,0.7786435,0.2155842
pubmed,2,Leiden,0.431066,0.7829,0.2007279
pubmed,3,Leiden-LPA_Hybrid,0.3743839,0.7776619,0.2054676
pubmed,3,Leiden,0.4118865,0.7815611,0.205877
pubmed,4,Leiden-LPA_Hybrid,0.2909369,0.7760594,0.2167408
pubmed,4,Leiden,0.4074032,0.7816387,0.2019558
pubmed,5,Leiden-LPA_Hybrid,0.2895908,0.7775236,0.225083
pubmed,5,Leiden,0.4037302,0.781453,0.2101527
pubmed,6,Leiden-LPA_Hybrid,0.2909811,0.77987,0.208904
pubmed,6,Leiden,0.4100778,0.7802148,0.2138858
pubmed,7,Leiden-LPA_Hybrid,0.2842433,0.7780722,0.2103334
pubmed,7,Leiden,0.4086893,0.7845838,0.1971609
pubmed,8,Leiden-LPA_Hybrid,0.3757975,0.7785268,0.2128854
pubmed,8,Leiden,0.4069505,0.779755,0.2059303
pubmed,9,Leiden-LPA_Hybrid,0.2932248,0.7788086,0.2119816
pubmed,9,Leiden,0.404942,0.7817306,0.2027546
dolphin,0,Leiden-LPA_Hybrid,0.0017099,0.5176417,0.6307047
dolphin,0,Leiden,0.000699,0.5277283,0.593211
dolphin,1,Leiden-LPA_Hybrid,0.0018346,0.5208457,0.5968028
dolphin,1,Leiden,0.0004199,0.5195799,0.4742528
dolphin,2,Leiden-LPA_Hybrid,0.001771,0.5176417,0.6307047
dolphin,2,Leiden,0.000417,0.5267988,0.5714557
dolphin,3,Leiden-LPA_Hybrid,0.0015578,0.5176417,0.6307047
dolphin,3,Leiden,0.0004435,0.5195799,0.4742528
dolphin,4,Leiden-LPA_Hybrid,0.0018165,0.5056564,0.5007142
dolphin,4,Leiden,0.0003996,0.5195799,0.4742528
dolphin,5,Leiden-LPA_Hybrid,0.0019975,0.5176417,0.6307047
dolphin,5,Leiden,0.0004227,0.5277283,0.593211
dolphin,6,Leiden-LPA_Hybrid,0.0016196,0.5208457,0.5968028
dolphin,6,Leiden,0.0005267,0.5277283,0.593211
dolphin,7,Leiden-LPA_Hybrid,0.001328,0.5208457,0.5968028
dolphin,7,Leiden,0.0004032,0.5277283,0.593211
dolphin,8,Leiden-LPA_Hybrid,0.0014782,0.5176417,0.6307047
dolphin,8,Leiden,0.0004337,0.524109,0.5124321
dolphin,9,Leiden-LPA_Hybrid,0.0016623,0.5176417,0.6307047
dolphin,9,Leiden,0.0004086,0.5285194,0.5864663
football,0,Leiden-LPA_Hybrid,0.0025928,0.5220694,0.7407533
football,0,Leiden,0.0007474,0.6045696,0.8903166
football,1,Leiden-LPA_Hybrid,0.0023446,0.5299147,0.7448881
football,1,Leiden,0.0007477,0.6045696,0.8903166
football,2,Leiden-LPA_Hybrid,0.0024326,0.5238697,0.7429773
football,2,Leiden,0.0007401,0.6045696,0.8903166
football,3,Leiden-LPA_Hybrid,0.0029278,0.5386208,0.7680527
football,3,Leiden,0.0007288,0.6045696,0.8903166
football,4,Leiden-LPA_Hybrid,0.002183,0.5355498,0.7524785
football,4,Leiden,0.0007181,0.6045696,0.8903166
football,5,Leiden-LPA_Hybrid,0.0024514,0.5464594,0.7685164
football,5,Leiden,0.0007453,0.6045696,0.8903166
football,6,Leiden-LPA_Hybrid,0.0022526,0.5238697,0.7429773
football,6,Leiden,0.0007174,0.6044285,0.8922958
football,7,Leiden-LPA_Hybrid,0.0025828,0.5626741,0.8060883
football,7,Leiden,0.0009906,0.6045696,0.8903166
football,8,Leiden-LPA_Hybrid,0.0023203,0.5238697,0.7429773
football,8,Leiden,0.000777,0.6045696,0.8903166
football,9,Leiden-LPA_Hybrid,0.002125,0.5299147,0.7448881
football,9,Leiden,0.0007579,0.6045696,0.8903166
mexican,0,Leiden-LPA_Hybrid,0.0010231,0.3479801,0.2318253
mexican,0,Leiden,0.0002959,0.3595222,0.2601049
mexican,1,Leiden-LPA_Hybrid,0.0012128,0.2890277,0.2572425
mexican,1,Leiden,0.0002911,0.3536051,0.2220654
mexican,2,Leiden-LPA_Hybrid,0.001157,0.3479801,0.2318253
mexican,2,Leiden,0.0003753,0.3514135,0.2153116
mexican,3,Leiden-LPA_Hybrid,0.0010352,0.2890277,0.2572425
mexican,3,Leiden,0.0003114,0.3595222,0.2601049
mexican,4,Leiden-LPA_Hybrid,0.001303,0.2890277,0.2572425
mexican,4,Leiden,0.0003235,0.3422821,0.2342804
mexican,5,Leiden-LPA_Hybrid,0.0012107,0.2727007,0.2429704
mexican,5,Leiden,0.0002913,0.3589378,0.2737745
mexican,6,Leiden-LPA_Hybrid,0.0012476,0.3479801,0.2318253
mexican,6,Leiden,0.0002849,0.3573307,0.2138085
mexican,7,Leiden-LPA_Hybrid,0.0014675,0.2890277,0.2572425
mexican,7,Leiden,0.0003722,0.3536051,0.2220654
mexican,8,Leiden-LPA_Hybrid,0.0012772,0.316568,0.1926405
mexican,8,Leiden,0.0002811,0.3595222,0.2601049
mexican,9,Leiden-LPA_Hybrid,0.0012238,0.3479801,0.2318253
mexican,9,Leiden,0.0003366,0.3589378,0.2737745
polblogs,0,Leiden-LPA_Hybrid,0.0437303,0.4258625,0.6990017
polblogs,0,Leiden,0.0142593,0.4268252,0.6349792
polblogs,1,Leiden-LPA_Hybrid,0.0429649,0.4258625,0.6990017
polblogs,1,Leiden,0.0135064,0.427114,0.6320054
polblogs,2,Leiden-LPA_Hybrid,0.0432198,0.4258625,0.6990017
polblogs,2,Leiden,0.0140343,0.427114,0.6320054
polblogs,3,Leiden-LPA_Hybrid,0.0432525,0.4258625,0.6990017
polblogs,3,Leiden,0.0144641,0.4269748,0.6407191
polblogs,4,Leiden-LPA_Hybrid,0.0432529,0.4258625,0.6990017
polblogs,4,Leiden,0.0140333,0.427114,0.6320054
polblogs,5,Leiden-LPA_Hybrid,0.0435553,0.4258625,0.6990017
polblogs,5,Leiden,0.0141144,0.4268892,0.6546013
polblogs,6,Leiden-LPA_Hybrid,0.0435967,0.4258625,0.6990017
polblogs,6,Leiden,0.0138772,0.427114,0.6320054
polblogs,7,Leiden-LPA_Hybrid,0.0433011,0.4258625,0.6990017
polblogs,7,Leiden,0.0144026,0.42706,0.6550115
polblogs,8,Leiden-LPA_Hybrid,0.043529,0.4258625,0.6990017
polblogs,8,Leiden,0.0137253,0.4268905,0.6502292
polblogs,9,Leiden-LPA_Hybrid,0.043617,0.4258625,0.6990017
polblogs,9,Leiden,0.0138586,0.4270852,0.6308458
