Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities
10000,0,Leiden-LPA_Hybrid,0.2574177,0.8885606,0.9223802,0.4689137,0.6360527,152
10000,0,Pure_Leiden,0.185775,0.8933294,0.9600103,0.4687194,0.8588992,147
10000,1,Leiden-LPA_Hybrid,0.3018634,0.8886086,0.9235165,0.4691382,0.6439348,154
10000,1,Pure_Leiden,0.1923027,0.8933251,0.957892,0.4513241,0.8510486,143
10000,2,Leiden-LPA_Hybrid,0.2565591,0.8886447,0.9219822,0.467617,0.6343973,151
10000,2,Pure_Leiden,0.1791034,0.8933039,0.9599495,0.4687285,0.8582479,147
10000,3,Leiden-LPA_Hybrid,0.2671251,0.8893274,0.9264672,0.4758666,0.6572886,153
10000,3,Pure_Leiden,0.1840279,0.8933318,0.957403,0.4531875,0.8466318,143
10000,4,Leiden-LPA_Hybrid,0.3306162,0.8886836,0.9230152,0.4612551,0.6465347,151
10000,4,Pure_Leiden,0.1850352,0.8933092,0.9594031,0.465695,0.8562196,146
20000,0,Leiden-LPA_Hybrid,0.6347206,0.8927198,0.9146604,0.4065576,0.5796526,240
20000,0,Pure_Leiden,0.5623276,0.8961466,0.9494119,0.3636476,0.7988724,220
20000,1,Leiden-LPA_Hybrid,0.7014146,0.8928174,0.9141152,0.4031798,0.5791864,238
20000,1,Pure_Leiden,0.5570471,0.896161,0.9493001,0.3646742,0.7978395,220
20000,2,Leiden-LPA_Hybrid,0.5890026,0.8928242,0.91369,0.3990555,0.5814959,236
20000,2,Pure_Leiden,0.5503666,0.8961345,0.949798,0.3685455,0.7985743,222
20000,3,Leiden-LPA_Hybrid,0.6107402,0.89295,0.9164666,0.4088163,0.5912681,241
20000,3,Pure_Leiden,0.5589871,0.8961418,0.9501456,0.3684553,0.8018706,222
20000,4,Leiden-LPA_Hybrid,0.583982,0.8927524,0.9139449,0.4037675,0.576506,238
20000,4,Pure_Leiden,0.5529745,0.8961455,0.9511225,0.3747472,0.805836,225
40000,0,Leiden-LPA_Hybrid,1.5597048,0.8950232,0.9144438,0.3576387,0.5539663,348
40000,0,Pure_Leiden,2.6939278,0.8972426,0.9482521,0.341237,0.7673616,333
40000,1,Leiden-LPA_Hybrid,1.4772956,0.8950059,0.9143754,0.3571106,0.5553072,348
40000,1,Pure_Leiden,2.7178109,0.8972391,0.9481317,0.3401432,0.7666169,333
40000,2,Leiden-LPA_Hybrid,1.7088044,0.8949102,0.912251,0.3529535,0.5450456,344
40000,2,Pure_Leiden,2.714159,0.8972341,0.9491692,0.3452426,0.7721966,337
40000,3,Leiden-LPA_Hybrid,1.5094435,0.8951049,0.9152417,0.3567195,0.561967,348
40000,3,Pure_Leiden,2.7441461,0.8972299,0.9492873,0.3468528,0.7719004,338
40000,4,Leiden-LPA_Hybrid,1.5129747,0.8949358,0.9127207,0.3554011,0.544387,346
40000,4,Pure_Leiden,2.6683657,0.8972367,0.9482543,0.34011,0.7677049,333
80000,0,Leiden-LPA_Hybrid,4.1736991,0.8966163,0.9061008,0.3049778,0.4929064,551
80000,0,Pure_Leiden,13.287348,0.8983608,0.9402347,0.2701473,0.7042308,495
80000,1,Leiden-LPA_Hybrid,4.1320875,0.8967076,0.9078994,0.3089403,0.5013303,556
80000,1,Pure_Leiden,13.8989785,0.8983629,0.9417302,0.2756091,0.7138717,503
80000,2,Leiden-LPA_Hybrid,4.1721644,0.8966205,0.9062335,0.3057838,0.4938668,552
80000,2,Pure_Leiden,13.3708196,0.8983657,0.940495,0.2722332,0.7055716,497
80000,3,Leiden-LPA_Hybrid,4.2133543,0.8966027,0.9063475,0.3068427,0.4920614,553
80000,3,Pure_Leiden,13.2403736,0.8983653,0.9402909,0.2703937,0.7049003,495
80000,4,Leiden-LPA_Hybrid,4.3360975,0.8966495,0.9068841,0.3071196,0.4963083,554
80000,4,Pure_Leiden,13.6080463,0.8983686,0.9403937,0.2706489,0.7050636,496
160000,0,Leiden-LPA_Hybrid,12.2042036,0.8980785,0.9002217,0.2265608,0.4404124,758
160000,0,Pure_Leiden,72.2382383,0.8991751,0.9362361,0.2328034,0.6502556,772
160000,1,Leiden-LPA_Hybrid,11.9775131,0.898032,0.8992731,0.2261676,0.4343273,757
160000,1,Pure_Leiden,74.9272296,0.8991719,0.9370334,0.2365429,0.6545955,781
160000,2,Leiden-LPA_Hybrid,12.2492547,0.8980984,0.9013239,0.2286414,0.4458593,764
160000,2,Pure_Leiden,74.4606788,0.8991729,0.9368592,0.2348362,0.6547456,777
160000,3,Leiden-LPA_Hybrid,11.991153,0.8980713,0.9004369,0.2271231,0.4419405,760
160000,3,Pure_Leiden,74.802609,0.8991666,0.937629,0.2390422,0.658137,787
160000,4,Leiden-LPA_Hybrid,12.456399,0.8980681,0.9001256,0.2268646,0.4398052,758
160000,4,Pure_Leiden,75.1173673,0.8991756,0.9359363,0.2324804,0.6478655,770
320000,0,Leiden-LPA_Hybrid,39.5547085,0.8986108,0.8902562,0.1868484,0.3642431,1230
320000,0,Pure_Leiden,294.7066689,0.8995558,0.9268513,0.173814,0.5630329,1164
