Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities
50000,0,Leiden-LPA_Hybrid,2.3497999,0.8972138,0.9153267,0.2441698,0.5732883,323
50000,0,Pure_Leiden,3.4416165,0.8981941,0.9460555,0.3186359,0.7455753,393
50000,0,Louvain,5.8623126,0.8981763,0.9467775,0.3230741,0.747864,398
50000,0,Pure_LPA,1.004194,0.897197,0.9998575,0.997834,0.9991385,1005
50000,1,Leiden-LPA_Hybrid,2.3926876,0.8971736,0.9135526,0.2377585,0.5658219,317
50000,1,Pure_Leiden,3.6189315,0.8982028,0.9460777,0.3188773,0.7462284,393
50000,1,Louvain,5.8851619,0.8981712,0.9479533,0.3298813,0.7552767,403
50000,1,Pure_LPA,1.0150328,0.8971049,0.9993601,0.9960385,0.9907257,1005
50000,2,Leiden-LPA_Hybrid,2.5381882,0.8972037,0.9155639,0.2439554,0.5756599,323
50000,2,Pure_Leiden,3.402231,0.898185,0.9455728,0.3165423,0.7426555,391
50000,2,Louvain,5.5203509,0.8981752,0.947903,0.3300382,0.754432,403
50000,2,Pure_LPA,1.2529123,0.8971956,1.0,1.0,1.0,1007
50000,3,Leiden-LPA_Hybrid,2.5538678,0.8972011,0.9153984,0.244318,0.5740242,323
50000,3,Pure_Leiden,3.6051466,0.8981919,0.9476468,0.3274218,0.7542096,401
50000,3,Louvain,6.394315,0.8981782,0.9483754,0.3305912,0.7576374,405
50000,3,Pure_LPA,1.0037384,0.8971972,0.9999802,0.9986988,0.9999772,1006
50000,4,Leiden-LPA_Hybrid,2.3434479,0.8971904,0.915722,0.2442155,0.5768526,324
50000,4,Pure_Leiden,3.6062624,0.8981995,0.9464486,0.3199443,0.7479223,395
50000,4,Louvain,5.871419,0.8981689,0.9478466,0.3286278,0.7541663,403
50000,4,Pure_LPA,1.2526309,0.8971956,1.0,1.0,1.0,1007
100000,0,Leiden-LPA_Hybrid,7.1321771,0.8979206,0.916993,0.203832,0.5659795,430
100000,0,Pure_Leiden,24.5631039,0.8985004,0.9474897,0.3028789,0.7390096,582
100000,0,Louvain,14.5143132,0.8984942,0.9484821,0.3083915,0.7445618,590
100000,0,Pure_LPA,2.6249101,0.8977579,0.9999556,0.9993278,0.9996787,1562
100000,1,Leiden-LPA_Hybrid,7.2420583,0.8979374,0.9185144,0.2086735,0.5734068,437
100000,1,Pure_Leiden,24.238543,0.8985009,0.9470071,0.3004862,0.7367017,578
100000,1,Louvain,16.145299,0.8984946,0.9477566,0.3047736,0.7400816,585
100000,1,Pure_LPA,3.1824784,0.897757,1.0,1.0,1.0,1563
100000,2,Leiden-LPA_Hybrid,6.5912256,0.8979371,0.9179306,0.2053368,0.571278,433
100000,2,Pure_Leiden,23.6457901,0.8985041,0.946844,0.29963,0.7356571,577
100000,2,Louvain,14.6188033,0.8984917,0.9484548,0.3091998,0.7436952,591
