Graph,Repeat,Algorithm,Time (s),Modularity,NMI
citeseer,0,Leiden-LPA_Hybrid,0.024,0.8164,0.356
citeseer,0,Leiden,0.0129,0.8564,0.3355
citeseer,0,Leiden-LPA_Hybrid,0.0353,0.8182,0.3551
citeseer,0,Leiden,0.0157,0.8564,0.3355
karate,0,Leiden-LPA_Hybrid,0.0021,0.3807,0.5866
karate,0,Leiden,0.0003,0.4198,0.5878
cora,0,Leiden-LPA_Hybrid,0.0292,0.7892,0.4475
cora,0,Leiden,0.0166,0.813,0.4796
citeseer,0,Leiden-LPA_Hybrid,0.0216,0.8158,0.3559
citeseer,0,Leiden,0.0125,0.8564,0.3355
pubmed,0,Leiden-LPA_Hybrid,0.328,0.7771,0.2169
pubmed,0,Leiden,0.4075,0.7834,0.2103
dolphin,0,Leiden-LPA_Hybrid,0.0021,0.5208,0.5968
dolphin,0,Leiden,0.0007,0.5277,0.5932
football,0,Leiden-LPA_Hybrid,0.0029,0.5465,0.7685
football,0,Leiden,0.0009,0.6046,0.8903
mexican,0,Leiden-LPA_Hybrid,0.0016,0.2898,0.2678
mexican,0,Leiden,0.0003,0.3595,0.2601
karate,0,Leiden-LPA_Hybrid,0.0021,0.3807,0.5866
karate,0,Leiden,0.0003,0.4198,0.5878
cora,0,Leiden-LPA_Hybrid,0.0283,0.7842,0.4419
cora,0,Leiden,0.0165,0.813,0.4796
citeseer,0,Leiden-LPA_Hybrid,0.0239,0.8161,0.3594
citeseer,0,Leiden,0.0126,0.8564,0.3355
pubmed,0,Leiden-LPA_Hybrid,0.3105,0.7785,0.2116
pubmed,0,Leiden,0.4052,0.7834,0.2103
dolphin,0,Leiden-LPA_Hybrid,0.0017,0.5208,0.5968
dolphin,0,Leiden,0.0005,0.5277,0.5932
football,0,Leiden-LPA_Hybrid,0.0027,0.5221,0.7408
football,0,Leiden,0.0008,0.6046,0.8903
mexican,0,Leiden-LPA_Hybrid,0.0015,0.348,0.2318
mexican,0,Leiden,0.0003,0.3595,0.2601
polblogs,0,Leiden-LPA_Hybrid,0.0448,0.4259,0.699
polblogs,0,Leiden,0.0145,0.4268,0.635
