# Final Experiment Results
# experiment: core_ratio_optimization
# centrality_method: pagerank
# core_ratios: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]
# repeat_count: 1
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'com-amazon']
# dataset_overlapping: {'karate': False, 'cora': False, 'citeseer': False, 'pubmed': False, 'com-dblp': True, 'com-youtube': True, 'com-amazon': True}
# checkpoint_interval: 1
# timestamp: 2025-08-06T19:49:39.850622
# total_results: 45
# completed_tasks: 45
# export_time: 2025-08-06T19:49:39.856348
# 
dataset,core_ratio,run_id,runtime,nodes,edges,is_overlapping,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,f1_score,overlapping_nmi,core_nodes_count,periphery_nodes_count,leiden_time,lpa_time,centrality_time
karate,0.1,0,0.0018563270568847656,34,78,False,3,0.11086456278763979,0.4798068481123793,0.7051282051282052,0.26391638877733253,0.21861872764190102,0.13102119460500963,0.6764705882352942,0.6386473429951691,,3,31,0.00029969215393066406,4.172325134277344e-05,0.0013418197631835938
karate,0.2,0,0.0010747909545898438,34,78,False,2,0.3523175542406311,0.2497448979591837,0.8589743589743589,0.7323776321005695,0.726262590556827,0.7717250324254216,0.9411764705882353,0.9409722222222222,,6,28,0.0002703666687011719,4.5299530029296875e-05,0.0007252693176269531
karate,0.3,0,0.0016109943389892578,34,78,False,2,0.3717948717948718,0.22727272727272727,0.8717948717948718,0.6772430411026018,0.6699133628094176,0.7716262975778547,0.9411764705882353,0.9411764705882353,,10,24,0.00057220458984375,3.2901763916015625e-05,0.000965118408203125
karate,0.4,0,0.001260519027709961,34,78,False,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428,,13,21,0.00044655799865722656,2.3603439331054688e-05,0.0007579326629638672
karate,0.5,0,0.0017864704132080078,34,78,False,3,0.3806706114398422,0.42903392903392906,0.7564102564102564,0.5865590086902392,0.5704562964287824,0.611849270311479,0.7941176470588235,0.8178571428571428,,17,17,0.0007390975952148438,2.4080276489257812e-05,0.0009834766387939453
karate,0.6,0,0.001604318618774414,34,78,False,4,0.3883136094674556,0.5150898078529657,0.6923076923076923,0.4744837212100318,0.4457458852696085,0.425489981386182,0.6764705882352942,0.39642857142857146,,20,14,0.0007386207580566406,1.7404556274414062e-05,0.0008027553558349609
karate,0.7,0,0.0016050338745117188,34,78,False,4,0.4155982905982905,0.4367224880382775,0.7564102564102564,0.4976791908843508,0.470417365456061,0.4292907180385289,0.6764705882352942,0.3896551724137931,,23,11,0.0008039474487304688,1.3828277587890625e-05,0.0007529258728027344
karate,0.8,0,0.001689910888671875,34,78,False,3,0.40203813280736356,0.33189792663476875,0.8205128205128205,0.5683801456945561,0.5510815988259274,0.5905528950805399,0.7941176470588235,0.5665990534144693,,27,7,0.0008599758148193359,1.0251998901367188e-05,0.0007841587066650391
karate,0.9,0,0.0018186569213867188,34,78,False,4,0.4155982905982905,0.4367224880382775,0.7564102564102564,0.4976791908843508,0.470417365456061,0.4292907180385289,0.6764705882352942,0.3896551724137931,,30,4,0.0009286403656005859,8.106231689453125e-06,0.0008494853973388672
cora,0.1,0,0.01841115951538086,2485,5069,False,103,0.536824569024012,0.5936058117796111,0.6383902150325508,0.23538482301871527,0.19566463485920232,0.08109275303904659,0.2776659959758551,0.021277771215357066,,248,2237,0.00499415397644043,0.005980491638183594,0.006369829177856445
cora,0.2,0,0.024185657501220703,2485,5069,False,81,0.4951597720640403,0.5871233962528506,0.5734858946537779,0.2130440546923967,0.18229171013007214,0.10842801587913499,0.29054325955734406,0.02969017581232837,,497,1988,0.011685371398925781,0.00536346435546875,0.0060765743255615234
cora,0.3,0,0.027843952178955078,2485,5069,False,63,0.4097543075026073,0.614167613056519,0.48589465377786545,0.13951787096841206,0.11392131457368852,0.06255876390701211,0.24668008048289738,0.03629491875511276,,745,1740,0.017427921295166016,0.003416299819946289,0.005921363830566406
cora,0.4,0,0.0334928035736084,2485,5069,False,60,0.3331549376933299,0.6793501850764911,0.4057999605444861,0.10122182756578867,0.07594309518284915,0.03786778668542883,0.21006036217303822,0.03398425166676829,,994,1491,0.02333378791809082,0.002595663070678711,0.006561279296875
cora,0.5,0,0.040087223052978516,2485,5069,False,55,0.28284187971236646,0.7087894643228599,0.3491812980864076,0.08721570129104281,0.06380745923799966,0.03244785974493014,0.19798792756539235,0.032309906448748454,,1242,1243,0.03148388862609863,0.0015447139739990234,0.00604557991027832
cora,0.6,0,0.04452919960021973,2485,5069,False,34,0.29747721724284587,0.7746365800275119,0.370684553166305,0.11096384663213388,0.09582698852744534,0.059997029425862755,0.2470824949698189,0.06824542340801523,,1491,994,0.03694891929626465,0.00083160400390625,0.005747318267822266
cora,0.7,0,0.05239987373352051,2485,5069,False,30,0.7791308508376472,0.2758864683944679,0.8396133359637009,0.43329679144689764,0.42490981568847175,0.2470934012757045,0.38591549295774646,0.12234444174840549,,1739,746,0.04468250274658203,0.0006375312805175781,0.006039857864379883
cora,0.8,0,0.05857491493225098,2485,5069,False,27,0.8108626307129302,0.19621014773759884,0.8818307358453343,0.4835850693122762,0.4762317627319485,0.2937225242842886,0.428169014084507,0.14432070910191175,,1988,497,0.05131244659423828,0.00039839744567871094,0.00583958625793457
cora,0.9,0,0.06451916694641113,2485,5069,False,33,0.8111901099216295,0.20706610398866404,0.8816334582757941,0.4764386818979619,0.4673296555504501,0.29296252450800087,0.4329979879275654,0.12169085596018878,,2236,249,0.05717873573303223,0.0002086162567138672,0.0060842037200927734
citeseer,0.1,0,0.017757654190063477,2110,3720,False,172,0.6088721962076539,0.43189145799350337,0.6653225806451613,0.23573395690227877,0.17377363104352742,0.0402660855234632,0.15165876777251186,0.006433485531244822,,211,1899,0.004568576812744141,0.0069615840911865234,0.005350828170776367
citeseer,0.2,0,0.021054983139038086,2110,3720,False,165,0.5544013036189163,0.5062816058611865,0.6024193548387097,0.19600316828353617,0.13442697253530198,0.04048837007872047,0.15071090047393365,0.007167672044721517,,422,1688,0.009444713592529297,0.0055942535400390625,0.005028724670410156
citeseer,0.3,0,0.024858951568603516,2110,3720,False,157,0.45219631604809785,0.5515460193512647,0.49973118279569895,0.14589646257944736,0.08493768442309037,0.025227363154195572,0.13080568720379146,0.0067326046593768965,,633,1477,0.01454615592956543,0.003857851028442383,0.005391120910644531
citeseer,0.4,0,0.028150320053100586,2110,3720,False,136,0.40982884582032575,0.5822472742232507,0.4669354838709677,0.13435850048947484,0.08035553091596426,0.035295733765982364,0.14123222748815165,0.008024692760787685,,844,1266,0.01952815055847168,0.0027077198028564453,0.004979133605957031
citeseer,0.5,0,0.03307986259460449,2110,3720,False,94,0.33866017747716465,0.6683288373443783,0.39408602150537636,0.08297142280399085,0.0427600569953056,0.021104958375514498,0.14502369668246445,0.012672797083321063,,1055,1055,0.02550363540649414,0.0014946460723876953,0.005167961120605469
citeseer,0.6,0,0.03601861000061035,2110,3720,False,46,0.5105779208579031,0.6404107411556081,0.5653225806451613,0.14745798992153733,0.12869766504970767,0.07154384629315978,0.2075829383886256,0.04187854090910785,,1266,844,0.02896285057067871,0.0009682178497314453,0.005148887634277344
citeseer,0.7,0,0.04061102867126465,2110,3720,False,35,0.8525895696034222,0.14374024509603286,0.910752688172043,0.3457341226738788,0.33425958268191375,0.168229048906821,0.2672985781990521,0.06598737123474488,,1477,633,0.03433799743652344,0.00045609474182128906,0.00488734245300293
citeseer,0.8,0,0.04410529136657715,2110,3720,False,37,0.8543429153659381,0.12932190779936173,0.9115591397849462,0.3312973966603684,0.3187932512161965,0.1661159021308686,0.2796208530805687,0.06253795139662045,,1688,422,0.037964582443237305,0.00030803680419921875,0.004916191101074219
citeseer,0.9,0,0.04765796661376953,2110,3720,False,41,0.8558337669094691,0.13468375782188233,0.9099462365591398,0.33293941756134937,0.31930180849986545,0.16630109951119562,0.28672985781990523,0.05665594044544733,,1899,211,0.04152083396911621,0.0001628398895263672,0.005106925964355469
pubmed,0.1,0,0.22269010543823242,19717,44327,False,472,0.41662125102619724,0.5694789972954312,0.5197283822500959,0.06938763466054822,0.057807241446831296,0.010380232141533061,0.1852208753867221,0.0015081494816230146,,1971,17746,0.08201980590820312,0.060828447341918945,0.06328320503234863
pubmed,0.2,0,0.273761510848999,19717,44327,False,385,0.3403138164777659,0.5576586676768771,0.43937103796783,0.04039180737326648,0.029568795086028152,0.005804961566333592,0.17020844956129227,0.0017261978926896042,,3943,15774,0.1603689193725586,0.04053783416748047,0.05818748474121094
pubmed,0.3,0,0.34949707984924316,19717,44327,False,125,0.29662449802880864,0.5834144936407483,0.37762537505357907,0.013639108745069494,0.009847917861751609,0.0036387208248585524,0.1370898209666785,0.005678921552207851,,5915,13802,0.26209592819213867,0.017753124237060547,0.05744767189025879
pubmed,0.4,0,0.4362046718597412,19717,44327,False,20,0.7806029231373102,0.23997547658267,0.8641685654341598,0.22109145048043363,0.22069372507972926,0.1165825967216297,0.22219404574732465,0.06404495348172622,,7886,11831,0.3501408100128174,0.010801076889038086,0.060216665267944336
pubmed,0.5,0,0.4803457260131836,19717,44327,False,31,0.7794369964216835,0.2211935549435183,0.8696054323549981,0.2219136663771612,0.2212777378274142,0.13074639514095665,0.27864279555713345,0.04078055541414326,,9858,9859,0.4021117687225342,0.008471012115478516,0.05698585510253906
pubmed,0.6,0,0.6254281997680664,19717,44327,False,34,0.7821001622127685,0.2101290668523864,0.8737112820628511,0.20607576336268604,0.20538292263236468,0.10961106279486756,0.22052036313840848,0.03607135167492581,,11830,7887,0.546154260635376,0.006787538528442383,0.05954337120056152
pubmed,0.7,0,0.6077203750610352,19717,44327,False,41,0.7831024285416857,0.2160876286248199,0.8622961174904685,0.20678434385898503,0.20596728223413993,0.10450155379333567,0.21382563270274382,0.024038396780262917,,13801,5916,0.5326309204101562,0.00518345832824707,0.056574106216430664
